"Model","Scenario","Region","Variable","Unit",2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Emissions|CO2|Other","Mt CO2/yr","",41.9073,42.488,28.5127,31.4451,12.1319,8.7956,7.485,6.5129,5.7018,5.594,5.4467,5.5697,5.8132,5.7626,5.6506,5.7877,5.8271,5.6824,6.6709,6.6942
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Emissions|CO2|Other","Mt CO2/yr","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|CO2|Other","Mt CO2/yr","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Emissions|CO2|Other","Mt CO2/yr","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_cost100","World","Emissions|CO2|Other","Mt CO2/yr",0,3.63798e-12,0,,0,,0,,1.36424e-12,,-4.54747e-13,,0,,-2.72848e-12,,-1.81899e-12,,0,,0
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_full","World","Emissions|CO2|Other","Mt CO2/yr",0,3.63798e-12,0,,0,,-1.8332e-12,,0,,2.27374e-13,,0,,9.09495e-13,,-1.81899e-12,,0,,0
"REMIND 1.7","CEMICS-1.5-CDR12","World","Emissions|CO2|Other","Mt CO2/yr",,0,0,0,0,-4.5426,-5.8623,-1.6148,-3.5914,-0.4605,-0.1916,0,-1.7173,,-102.9666,,-833.3812,,-2040.323,,-3549.228
"REMIND 1.7","CEMICS-1.5-CDR8","World","Emissions|CO2|Other","Mt CO2/yr",,0,0,0,0,-314.2417,-433.7342,-147.7983,-31.2583,-11.2525,-1.3412,0,0,,-0.1918,,-75.1335,,-583.1997,,-2110.03
