Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|BC,Mt BC/yr,,8.2512,8.0345,7.6168875,7.370475,6.0946625,5.48585,4.9396375,4.567825,4.2474125,3.5688,3.47,3.3654,3.2515,3.1251,3.0047,2.9706,2.9239,2.885,2.5998,2.5771
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|C2F6,kt C2F6/yr,,2.6495,2.3992,3.784614106,5.170092033,1.094634904,0.960023131,0.513276107,0.231352844,0.145450185,0.075794623,0.046058564,0.045660358,0.033733302,0.034340886,0.019624273,0.019929524,0.012951044,0.013193789,0.013782348,0.014022049
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|C6F14,kt C6F14/yr,,0.4358,0.4666,0.35571715,0.204751688,0.081434967,0.036350063,0.027065066,0.018542347,0.008051079,0.017468801,0.015333812,0.015201242,0.013777685,0.014025841,0.013394343,0.013602689,0.013683037,0.013939502,0.014264904,0.014512998
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|CH4,Mt CH4/yr,,346.4720389,372.1805241,384.2890711,388.4138181,231.9030651,184.4966121,156.885059,134.593006,115.733753,106.6429,107.6389,111.0836,115.9752,116.5906,118.0872,120.9023,122.0036,120.1977,133.5733,133.5872
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|CO,Mt CO/yr,,1061.5255,1048.8921,1005.428763,960.000325,867.9374875,816.61855,759.9527125,712.227975,656.5676375,536.3697,528.7483,520.9097,513.4796,502.6882,492.9263,496.5278,498.884,499.1336,469.5049,471.2827
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|CO2|AFOLU,Mt CO2/yr,,4383.504384,3827.270494,4230.10012,3986.855545,441.1492712,-150.524903,-1058.814577,-2031.031352,-2910.167126,140.6341,99.143,89.5683,88.0307,64.5805,39.6464,-94.989,-746.9334,-1634.3932,34.6074,-300.281
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29227.02923,32727.23273,35639.28689,38713.35665,29364.7605,20441.70396,13135.01872,7083.253982,2165.265141,-561.7253,-3835.7399,-5356.4997,-6597.934,-7730.0865,-8333.7563,-8332.6005,-8334.0129,-8338.5171,-8321.5555,-8321.322
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC125,kt HFC23/yr,,13.7591,34.5984,78.55456481,129.9305318,88.95872106,34.73776503,28.05850518,20.73896459,19.91158458,19.16368723,19.81647476,19.64514871,20.57376018,20.94432271,21.61891577,21.95519352,22.74262875,23.16890129,23.83593831,24.2504902
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC134a,kt HFC23/yr,,120.9334,152.5132,188.3120436,224.3236543,141.6097121,43.25115476,34.87884689,26.05612607,28.91737008,31.90564569,32.31765688,32.03825014,33.06727275,33.66286111,34.48514591,35.02155522,36.15702443,36.83472737,37.8561571,38.51454702
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC143a,kt HFC23/yr,,12.4483,26.5373,57.01539771,92.4789833,61.88214519,23.39953462,18.60309285,13.56813401,12.96000361,12.40012662,12.3632062,12.2563184,12.34390965,12.56624093,12.43513341,12.62855934,12.49532309,12.72952702,12.45679334,12.67344045
