Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0.7553,64.1828,620.8491,2198.6567,4206.7653,6313.5634,8850.2655,10378.3914,11915.0112,12757.8251,12970.6046,13109.3657,13079.475,12746.8163,14425.4696,14345.9453
AIM/CGE 2.0,SSP1-19,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,,0,,5.6526,,507.127,,1391.1523,,2347.4837,,2880.9973,,3026.2328,,3164.8677,,3246.0161
AIM/CGE 2.0,SSP2-19,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,,0,,110.2349,,1963.8959,,4531.4441,,6895.5093,,8731.1341,,9563.2304,,10320.7536,,11129.2194
AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0,0,257.7562,1716.9055,3540.2001,5025.0398,5663.7651,6302.6348,7011.3786,7397.6485,7620.7502,7604.6165,7679.038,7910.4391,8132.8724,7771.8194
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0,13.7901,432.6521,1486.5433,2978.4109,4568.6448,6236.2758,7542.6671,8992.554,9802.1704,10239.6968,10600.2364,10592.3337,10359.4336,9672.2123,9371.917
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0,18.2314,492.4866,1599.3919,3094.227,4707.8665,6425.2941,7612.5109,8851.5643,9351.0765,9524.7104,9451.9353,9046.0079,8408.9918,7170.9734,6437.5494
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-ROADS-5.005,Ratchet-1.5-noCDR,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 4.2,SSP1-19,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,0,0,,45.39518072,,473.749495,,1039.541783,,2339.604818,,4991.8146,,7505.219507,,9436.110044,,11361.07806,,13923.20397
