Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|BC,Mt BC/yr,,8.3367,7.6408,7.2724,7.0752,5.8486,5.289,4.792,4.4694,4.1982,3.5688,3.47,3.3654,3.2515,3.1251,3.0047,2.9706,2.9239,2.885,2.5998,2.5771
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CH4,Mt CH4/yr,,344.9167,367.7457,380.4086,385.0877,229.1313,182.2792,155.222,133.4843,115.1794,106.6429,107.6389,111.0836,115.9752,116.5906,118.0872,120.9023,122.0036,120.1977,133.5733,133.5872
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.6356,190.3513,198.5217,152.3684,129.2881,115.4458,103.5424,92.5953,87.0971,88.7903,92.3224,96.7759,98.0924,100.5173,103.2884,104.7226,103.9322,114.1118,114.5658
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO,Mt CO/yr,,950.7368,904.7558,879.3095,851.8981,777.8523,744.5504,705.9016,676.1939,638.5506,536.3697,528.7483,520.9097,513.4796,502.6882,492.9263,496.5278,498.884,499.1336,469.5049,471.2827
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|NOx,Mt NO2/yr,,123.3375,117.877,112.0898,108.4952,80.8859,64.5427,53.9812,47.465,42.9795,38.817,38.1002,37.7154,37.2112,36.0568,34.4181,33.983,33.2572,32.2767,31.871,31.0904
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|OC,Mt OC/yr,,37.5159,35.8212,34.3755,32.9484,30.0502,29.0748,27.9441,27.2476,26.4412,21.3326,20.7397,20.2106,19.6921,19.1189,18.7358,18.9151,19.0594,19.2025,17.0642,17.2455
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|Sulfur,Mt SO2/yr,,119.3537,98.1488,87.2161,82.0075,55.302,42.6106,29.9301,22.4278,14.5319,11.2325,10.9461,11.0392,11.1956,11.1248,11.0001,11.1667,11.2354,11.193,11.5828,11.6363
AIM/CGE 2.0,SSP1-19,World,Emissions|BC,Mt BC/yr,,8.3348,7.3374,,5.9854,,4.1321,,3.4571,,2.9732,,2.7533,,2.5551,,2.3814,,2.2108,,2.0708
AIM/CGE 2.0,SSP1-19,World,Emissions|CH4,Mt CH4/yr,,350.2723,368.1046,,374.4576,,129.1583,,96.8493,,72.1649,,61.704,,57.2134,,53.0908,,51.0139,,46.98
AIM/CGE 2.0,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,179.5309,,189.7027,,93.4843,,72.9839,,55.7461,,49.7466,,47.33,,44.8234,,43.5865,,40.6235
AIM/CGE 2.0,SSP1-19,World,Emissions|CO,Mt CO/yr,,950.7368,870.6104,,766.2892,,624.3235,,548.226,,480.9015,,448.9191,,417.6987,,389.2271,,360.7071,,336.1771
AIM/CGE 2.0,SSP1-19,World,Emissions|NOx,Mt NO2/yr,,123.3375,111.1073,,92.2948,,47.3418,,34.9782,,27.8994,,25.013,,23.117,,21.4815,,19.9915,,18.6096
AIM/CGE 2.0,SSP1-19,World,Emissions|OC,Mt OC/yr,,38.0662,35.213,,30.4275,,25.1128,,22.0913,,19.65,,18.7884,,17.8008,,16.8937,,15.9146,,15.1202
AIM/CGE 2.0,SSP1-19,World,Emissions|Sulfur,Mt SO2/yr,,119.3537,94.4683,,72.1425,,28.2352,,17.2553,,11.2131,,9.3508,,8.0375,,6.8268,,5.7235,,4.636
AIM/CGE 2.0,SSP1-19,World,Emissions|CH4|Energy,Mt CH4/yr,,122.3602,124.3944,,116.6242,,20.8712,,14.505,,10.717,,7.5915,,6.0181,,4.8143,,4.1129,,3.3812
AIM/CGE 2.0,SSP2-19,World,Emissions|BC,Mt BC/yr,,8.3348,7.6807,,6.9829,,4.8876,,4.152,,3.6531,,3.4217,,3.2218,,3.0461,,2.8787,,2.7168
AIM/CGE 2.0,SSP2-19,World,Emissions|CH4,Mt CH4/yr,,350.2723,371.5651,,382.4708,,153.5126,,120.0432,,98.4188,,92.3257,,91.6684,,91.157,,91.1737,,91.423
AIM/CGE 2.0,SSP2-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,181.5943,,197.3551,,109.7343,,89.1707,,73.7326,,71.8572,,72.937,,73.7475,,74.6447,,75.4564
AIM/CGE 2.0,SSP2-19,World,Emissions|CO,Mt CO/yr,,950.7368,893.0188,,830.0399,,695.9669,,641.4768,,586.1692,,557.1659,,529.235,,503.8973,,478.9502,,454.2157
AIM/CGE 2.0,SSP2-19,World,Emissions|NOx,Mt NO2/yr,,123.3375,114.9453,,103.4544,,57.2594,,43.9872,,38.271,,34.9415,,33.0126,,31.2834,,29.6137,,27.9211
