# yr    ffi     land    atmo
1990	6.05	1.32	2.50
1991	6.12	1.33	1.55
1992	6.06	1.35	1.48
1993	6.05	1.35	2.59
1994	6.15	1.34	3.54
1995	6.28	1.33	4.18
1996	6.42	1.31	2.29
1997	6.53	1.78	4.20
1998	6.55	1.23	5.94
1999	6.53	1.20	2.84
2000	6.70	1.32	2.63
2001	6.86	1.18	3.90
2002	6.96	1.34	5.05
2003	7.33	1.39	4.83
2004	7.69	1.34	3.29
2005	7.98	1.21	5.17
2006	8.27	1.25	3.75
2007	8.43	1.07	4.43
2008	8.70	1.13	3.75
2009	8.60	1.57	3.43
2010	9.02	1.42	5.17
2011	9.38	1.36	3.58
2012	9.53	1.60	5.05
2013	9.61	1.54	5.13
2014	9.69	1.60	4.32
2015	9.68	1.62	6.19
2016	9.74	1.30	6.04
2017	9.87	1.39	4.64
