Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.28,-.17,-.10,-.19,-.11,-.22,-.20,-.08,-.15,-.22,-.19,-.22,-.18,***,***,-.13,-.17,-.19
1881,-.14,-.16,.05,.05,.03,-.19,-.06,-.02,-.13,-.20,-.21,-.10,-.09,-.10,-.17,.04,-.09,-.18
1882,.15,.16,.04,-.18,-.15,-.25,-.20,-.05,-.09,-.24,-.15,-.24,-.10,-.09,.07,-.10,-.17,-.16
1883,-.31,-.38,-.12,-.17,-.19,-.12,-.08,-.15,-.20,-.13,-.22,-.15,-.19,-.19,-.31,-.16,-.11,-.18
1884,-.15,-.08,-.36,-.42,-.36,-.40,-.34,-.26,-.27,-.23,-.29,-.28,-.29,-.28,-.13,-.38,-.33,-.26
1885,-.58,-.29,-.24,-.42,-.41,-.43,-.35,-.31,-.23,-.18,-.19,-.04,-.31,-.33,-.38,-.36,-.36,-.20
1886,-.41,-.45,-.38,-.27,-.25,-.38,-.21,-.33,-.25,-.28,-.30,-.25,-.31,-.30,-.30,-.30,-.31,-.28
1887,-.72,-.52,-.33,-.38,-.31,-.23,-.23,-.31,-.22,-.32,-.23,-.32,-.34,-.34,-.50,-.34,-.26,-.25
1888,-.37,-.35,-.40,-.22,-.21,-.18,-.09,-.15,-.09,.02,.01,-.06,-.17,-.20,-.35,-.28,-.14,-.02
1889,-.11,.19,.09,.08,-.02,-.13,-.09,-.19,-.21,-.22,-.32,-.29,-.10,-.08,.01,.05,-.14,-.25
1890,-.43,-.44,-.39,-.36,-.45,-.26,-.26,-.38,-.39,-.23,-.47,-.31,-.37,-.36,-.39,-.40,-.30,-.37
1891,-.41,-.47,-.18,-.27,-.18,-.20,-.20,-.15,-.13,-.21,-.34,-.04,-.23,-.25,-.40,-.21,-.18,-.23
1892,-.27,-.11,-.34,-.34,-.24,-.23,-.32,-.24,-.12,-.11,-.40,-.37,-.26,-.23,-.14,-.31,-.26,-.21
1893,-.78,-.53,-.22,-.29,-.35,-.27,-.15,-.25,-.19,-.15,-.15,-.34,-.31,-.31,-.56,-.29,-.23,-.17
1894,-.52,-.32,-.23,-.47,-.34,-.43,-.25,-.21,-.24,-.19,-.24,-.18,-.30,-.31,-.39,-.35,-.30,-.22
1895,-.43,-.41,-.27,-.23,-.26,-.23,-.16,-.15,-.08,-.07,-.13,-.14,-.21,-.22,-.34,-.25,-.18,-.09
1896,-.24,-.13,-.24,-.29,-.17,-.13,-.02,-.03,-.02,.13,-.06,-.02,-.10,-.11,-.17,-.24,-.06,.02
1897,-.13,-.13,-.12,-.01,-.04,-.15,-.06,-.10,-.06,-.11,-.18,-.18,-.11,-.09,-.09,-.06,-.10,-.12
1898,-.02,-.29,-.51,-.32,-.31,-.20,-.23,-.24,-.21,-.32,-.37,-.24,-.27,-.27,-.16,-.38,-.22,-.30
1899,-.18,-.39,-.33,-.20,-.22,-.32,-.17,-.06,-.02,-.04,.13,-.27,-.17,-.17,-.27,-.25,-.18,.02
1900,-.36,-.02,.02,-.11,-.09,-.12,-.12,-.10,-.04,.10,-.09,-.06,-.08,-.10,-.22,-.06,-.11,-.01
