Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1901,-.23,-.03,.09,-.03,-.16,-.11,-.14,-.19,-.21,-.29,-.15,-.26,-.14,-.13,-.11,-.03,-.15,-.22
1902,-.19,-.02,-.28,-.30,-.35,-.34,-.28,-.32,-.28,-.29,-.38,-.45,-.29,-.27,-.16,-.31,-.31,-.32
1903,-.25,-.03,-.22,-.42,-.44,-.45,-.37,-.47,-.47,-.47,-.43,-.51,-.38,-.37,-.24,-.36,-.43,-.46
1904,-.66,-.57,-.50,-.53,-.54,-.50,-.53,-.49,-.52,-.38,-.20,-.33,-.48,-.49,-.58,-.52,-.51,-.37
1905,-.38,-.58,-.21,-.34,-.31,-.29,-.28,-.21,-.17,-.24,-.09,-.17,-.27,-.29,-.43,-.29,-.26,-.17
1906,-.26,-.29,-.15,-.03,-.23,-.20,-.24,-.18,-.25,-.17,-.36,-.14,-.21,-.21,-.24,-.14,-.21,-.26
1907,-.39,-.49,-.25,-.37,-.45,-.42,-.35,-.33,-.31,-.22,-.46,-.46,-.38,-.35,-.34,-.36,-.37,-.33
1908,-.41,-.29,-.52,-.43,-.39,-.40,-.38,-.45,-.34,-.43,-.48,-.47,-.42,-.42,-.39,-.45,-.41,-.42
1909,-.67,-.45,-.49,-.58,-.54,-.51,-.43,-.29,-.33,-.35,-.29,-.53,-.46,-.45,-.53,-.54,-.41,-.32
1910,-.42,-.42,-.49,-.38,-.33,-.36,-.33,-.35,-.35,-.37,-.52,-.65,-.41,-.40,-.46,-.40,-.35,-.41
1911,-.62,-.56,-.58,-.52,-.50,-.46,-.39,-.40,-.36,-.21,-.16,-.20,-.41,-.45,-.61,-.53,-.42,-.25
1912,-.25,-.10,-.33,-.18,-.20,-.25,-.43,-.53,-.50,-.55,-.36,-.41,-.34,-.32,-.18,-.24,-.40,-.47
1913,-.40,-.41,-.41,-.38,-.45,-.47,-.35,-.32,-.34,-.32,-.17,-.02,-.34,-.37,-.41,-.42,-.38,-.28
1914,.06,-.09,-.21,-.27,-.21,-.25,-.23,-.12,-.11,-.02,-.16,-.06,-.14,-.14,-.02,-.23,-.20,-.10
1915,-.16,.01,-.08,.07,-.05,-.19,-.09,-.18,-.15,-.23,-.11,-.15,-.11,-.10,-.07,-.02,-.15,-.16
1916,-.07,-.11,-.27,-.28,-.30,-.45,-.34,-.24,-.30,-.25,-.38,-.78,-.31,-.26,-.11,-.28,-.34,-.31
1917,-.57,-.60,-.59,-.49,-.53,-.42,-.23,-.20,-.16,-.38,-.27,-.66,-.42,-.43,-.65,-.54,-.28,-.27
1918,-.40,-.30,-.23,-.43,-.44,-.34,-.30,-.28,-.13,-.03,-.09,-.26,-.27,-.30,-.45,-.37,-.31,-.08
1919,-.18,-.21,-.18,-.11,-.26,-.35,-.27,-.31,-.20,-.17,-.39,-.40,-.25,-.24,-.22,-.19,-.31,-.25
1920,-.21,-.21,-.07,-.24,-.25,-.35,-.30,-.23,-.17,-.24,-.25,-.41,-.24,-.24,-.27,-.19,-.29,-.22
1921,.00,-.17,-.20,-.28,-.27,-.26,-.13,-.22,-.15,-.01,-.11,-.15,-.16,-.19,-.20,-.25,-.21,-.09
1922,-.32,-.42,-.11,-.23,-.32,-.30,-.24,-.29,-.30,-.31,-.12,-.17,-.26,-.26,-.29,-.22,-.28,-.24
1923,-.27,-.35,-.33,-.38,-.33,-.25,-.28,-.28,-.26,-.09,.02,-.01,-.23,-.25,-.26,-.35,-.27,-.11
1924,-.20,-.22,-.05,-.30,-.17,-.21,-.25,-.32,-.29,-.32,-.18,-.40,-.24,-.21,-.14,-.17,-.26,-.26
1925,-.35,-.37,-.24,-.24,-.28,-.32,-.27,-.15,-.14,-.16,.05,.10,-.20,-.24,-.37,-.26,-.24,-.08
1926,.21,.08,.13,-.11,-.20,-.21,-.23,-.12,-.11,-.08,-.03,-.26,-.08,-.05,.13,-.06,-.19,-.07
1927,-.26,-.17,-.35,-.29,-.24,-.25,-.16,-.19,-.09,.01,-.02,-.31,-.19,-.19,-.23,-.30,-.20,-.03
1928,.01,-.06,-.26,-.27,-.28,-.36,-.17,-.20,-.17,-.16,-.07,-.16,-.18,-.19,-.12,-.27,-.24,-.13
1929,-.44,-.58,-.30,-.38,-.37,-.39,-.32,-.29,-.22,-.11,-.11,-.52,-.34,-.31,-.39,-.35,-.33,-.14
1930,-.29,-.26,-.07,-.24,-.22,-.19,-.18,-.12,-.11,-.07,.17,-.05,-.14,-.18,-.36,-.18,-.16,-.01
1931,-.09,-.23,-.07,-.21,-.19,-.06,-.02,-.02,-.06,.03,-.11,-.09,-.09,-.09,-.12,-.15,-.03,-.05
1932,.15,-.18,-.18,-.05,-.18,-.29,-.23,-.23,-.11,-.10,-.26,-.25,-.16,-.14,-.04,-.14,-.25,-.15
1933,-.33,-.33,-.29,-.25,-.28,-.33,-.21,-.23,-.26,-.20,-.29,-.45,-.29,-.27,-.30,-.27,-.26,-.25
1934,-.24,-.03,-.32,-.29,-.10,-.15,-.10,-.10,-.15,-.07,.04,-.03,-.13,-.16,-.24,-.24,-.12,-.06
1935,-.33,.15,-.12,-.35,-.30,-.26,-.22,-.21,-.20,-.07,-.27,-.19,-.20,-.18,-.07,-.25,-.23,-.18
1936,-.28,-.38,-.22,-.19,-.17,-.20,-.08,-.13,-.09,-.03,-.03,-.02,-.15,-.17,-.28,-.19,-.14,-.05
1937,-.13,.04,-.18,-.16,-.07,-.05,-.05,.02,.12,.09,.10,-.11,-.03,-.02,-.04,-.14,-.02,.10
1938,.02,-.02,.08,.04,-.10,-.18,-.09,-.06,.02,.12,.04,-.21,-.03,-.02,-.03,.01,-.11,.06
1939,-.07,-.08,-.19,-.09,-.06,-.08,-.07,-.07,-.06,-.02,.06,.45,-.02,-.08,-.12,-.11,-.07,-.01
1940,-.05,.13,.16,.19,.10,.08,.13,.05,.13,.08,.18,.28,.12,.13,.18,.15,.09,.13
1941,.21,.33,.08,.17,.14,.12,.21,.14,.02,.34,.24,.21,.19,.19,.27,.13,.16,.20
1942,.26,.02,.10,.11,.09,.05,.01,-.03,-.04,.00,.08,.08,.06,.07,.17,.10,.01,.01
1943,-.04,.14,-.08,.07,.05,-.06,.08,.01,.06,.22,.20,.25,.08,.06,.06,.01,.01,.16
1944,.36,.27,.27,.20,.20,.20,.19,.17,.30,.26,.10,.03,.21,.23,.29,.22,.19,.22
1945,.10,-.01,.07,.19,.05,.00,.03,.27,.22,.19,.08,-.08,.09,.10,.04,.10,.10,.16
1946,.15,.07,.01,.06,-.08,-.21,-.13,-.16,-.07,-.06,-.05,-.35,-.07,-.05,.05,.00,-.17,-.06
1947,-.12,-.07,.08,.07,-.03,.02,-.07,-.09,-.12,.06,.02,-.16,-.03,-.05,-.18,.04,-.05,-.01
1948,.07,-.15,-.25,-.11,.01,-.04,-.11,-.12,-.11,-.07,-.11,-.22,-.10,-.10,-.08,-.12,-.09,-.10
1949,.10,-.16,-.02,-.10,-.08,-.23,-.14,-.11,-.14,-.06,-.09,-.22,-.10,-.10,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.06,-.20,-.09,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.27,-.12,-.10,-.24
1951,-.35,-.43,-.21,-.13,.00,-.02,.03,.06,.08,.05,-.02,.14,-.07,-.09,-.32,-.11,.02,.04
1952,.12,.10,-.10,.02,-.02,-.04,.04,.04,.07,-.01,-.14,-.01,.01,.02,.12,-.03,.01,-.03
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.06,.02,.07,.07,.07,.13,.05,.02
1954,-.28,-.13,-.15,-.16,-.21,-.17,-.19,-.16,-.10,-.04,.06,-.21,-.15,-.13,-.13,-.18,-.17,-.03
1955,.14,-.18,-.35,-.21,-.21,-.11,-.13,.01,-.11,-.05,-.24,-.30,-.15,-.14,-.08,-.26,-.08,-.13
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.08,-.21,-.23,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.01,.11,.06
1958,.39,.24,.11,.03,.06,-.07,.05,-.04,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.09,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.18,-.02,.01
1961,.07,.19,.09,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.06,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.05,.02,-.01,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.09,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.14,.17
1964,-.08,-.13,-.23,-.31,-.24,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.07,-.17,-.10,-.19,-.13,-.09,-.12,-.03,-.16,-.05,-.06,-.06,-.10,-.12,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.13,-.11,.01,.09,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.05,-.05,.15,-.08,.01,.01,-.06,.09,-.06,-.03,-.02,-.02,-.10,.05,-.02,-.01
1968,-.25,-.15,.21,-.05,-.13,-.07,-.12,-.09,-.18,.11,-.03,-.12,-.07,-.07,-.14,.01,-.09,-.03
1969,-.10,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.03,-.12,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.07,.20,.04,-.04,.06
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.16,.02,.00,-.04,.06,.01,.17,.02,.09,.04,.19,.01,-.01,-.16,.00,.08,.05
1973,.29,.31,.27,.26,.25,.18,.10,.03,.10,.14,.06,-.06,.16,.18,.26,.26,.10,.10
1974,-.15,-.29,-.06,-.12,-.02,-.06,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.16,-.07,.00,-.09
1975,.07,.06,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.02,-.01,.01,.11,-.07,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.15,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.28,.30,.24,.20,.16,.00,.02,.17,.03,.17,.18,.17,.27,.20,.07
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.06,.00,.16,.10,.06,.06,.08,.14,-.05,.07
1979,.12,-.10,.18,.13,.05,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.42,.30,.33,.36,.17,.28,.23,.19,.18,.29,.19,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.33,.18
1982,.10,.15,-.01,.10,.16,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.52,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.23,.29
1984,.30,.17,.29,.08,.33,.05,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.23,.13,.14
1985,.22,-.07,.17,.11,.17,.17,-.01,.14,.15,.11,.08,.15,.12,.10,.03,.15,.10,.11
1986,.28,.39,.27,.24,.24,.11,.11,.12,.00,.13,.11,.16,.18,.18,.27,.25,.11,.08
1987,.36,.45,.16,.22,.25,.37,.45,.28,.39,.32,.25,.48,.33,.31,.33,.21,.37,.32
1988,.57,.43,.51,.45,.44,.43,.34,.47,.41,.40,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.37,.33,.17,.15,.33,.37,.37,.32,.20,.38,.29,.29,.28,.29,.28,.30
1990,.40,.41,.76,.55,.46,.38,.43,.30,.29,.41,.45,.41,.44,.44,.40,.59,.37,.38
1991,.40,.49,.35,.52,.37,.53,.47,.39,.48,.30,.31,.32,.41,.42,.43,.41,.46,.36
1992,.44,.41,.47,.23,.32,.25,.11,.07,-.01,.09,.03,.21,.22,.23,.39,.34,.14,.04
1993,.37,.38,.36,.26,.27,.25,.28,.13,.10,.22,.06,.16,.24,.24,.32,.30,.22,.13
1994,.27,.02,.26,.40,.28,.42,.30,.21,.29,.41,.46,.36,.31,.29,.15,.31,.31,.39
1995,.51,.78,.45,.47,.26,.41,.47,.45,.32,.47,.45,.28,.44,.45,.55,.39,.44,.41
1996,.25,.48,.32,.36,.26,.25,.35,.48,.25,.19,.41,.40,.33,.32,.34,.31,.36,.28
1997,.31,.38,.53,.36,.35,.53,.34,.41,.53,.62,.64,.59,.47,.45,.36,.41,.43,.60
1998,.60,.90,.63,.63,.69,.77,.68,.66,.42,.44,.49,.56,.62,.62,.69,.65,.70,.45
1999,.48,.65,.34,.32,.31,.37,.37,.31,.41,.39,.38,.43,.40,.41,.56,.32,.35,.39
2000,.24,.56,.57,.57,.36,.41,.38,.42,.40,.28,.32,.29,.40,.41,.41,.50,.40,.33
2001,.42,.44,.56,.51,.56,.54,.60,.48,.54,.51,.70,.56,.53,.51,.38,.54,.54,.58
2002,.75,.75,.90,.56,.63,.55,.61,.53,.62,.55,.58,.44,.62,.63,.69,.70,.56,.58
2003,.73,.55,.57,.53,.60,.47,.53,.65,.64,.74,.52,.73,.61,.58,.57,.57,.55,.64
2004,.58,.72,.64,.63,.38,.43,.24,.43,.50,.64,.70,.51,.53,.55,.68,.55,.37,.61
2005,.72,.57,.69,.66,.63,.66,.63,.60,.74,.76,.71,.65,.67,.66,.60,.66,.63,.74
2006,.56,.69,.62,.50,.46,.64,.52,.70,.61,.67,.70,.73,.62,.61,.63,.52,.62,.66
2007,.95,.70,.69,.73,.66,.58,.60,.57,.59,.57,.55,.46,.64,.66,.79,.69,.58,.57
2008,.23,.34,.72,.51,.47,.45,.58,.43,.62,.63,.64,.53,.51,.51,.34,.57,.49,.63
2009,.61,.51,.51,.58,.64,.64,.69,.65,.67,.63,.76,.65,.63,.62,.55,.58,.66,.69
2010,.73,.79,.91,.85,.73,.62,.59,.62,.59,.68,.77,.46,.70,.71,.72,.83,.61,.68
2011,.48,.50,.62,.62,.50,.57,.71,.71,.54,.62,.55,.53,.58,.57,.48,.58,.66,.57
2012,.44,.47,.55,.67,.74,.62,.53,.61,.72,.74,.73,.52,.61,.61,.48,.66,.59,.73
2013,.66,.55,.65,.53,.57,.65,.57,.66,.77,.67,.78,.65,.64,.63,.57,.58,.63,.74
2014,.73,.51,.76,.76,.85,.66,.55,.81,.88,.81,.66,.78,.73,.72,.63,.79,.67,.78
2015,.81,.86,.90,.74,.75,.79,.71,.78,.81,1.07,1.02,1.10,.86,.83,.82,.80,.76,.97
2016,1.15,1.34,1.30,1.07,.91,.77,.82,1.00,.87,.89,.90,.83,.99,1.01,1.19,1.09,.86,.89
2017,.97,1.12,1.12,.92,.88,.69,.82,.86,.75,.87,.85,.88,.89,.89,.97,.97,.79,.82
2018,.76,.84,.91,.87,.81,.74,.78,.72,.75,.98,.77,***,***,.82,.83,.86,.75,.83
